2CO 1:1.1 C Παῦλος Παῦλος N-NSM 3972 Παῦλος ! Παῦλος
2CO 8:2.9 . χαρᾶς χαρᾶς N-GSF 5479 χαρά ! χαρά
2CO 8:2.10 . αὐτῶν αὐτῶν P-GPM 846 αὐτός ! αὐτός
2CO 8:2.11 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:2.12 . ἡ ἡ T-NSF 3588 ὁ ! ὁ
2CO 8:2.13 . κατὰ κατὰ PREP 2596 κατά ! κατά
2CO 8:2.14 . βάθους βάθους N-GSN 899 βάθος ! βάθος
2CO 8:2.15 . πτωχεία πτωχεία N-NSF 4432 πτωχεία ! πτωχεία
2CO 8:2.16 . αὐτῶν αὐτῶν P-GPM 846 αὐτός ! αὐτός
2CO 8:2.17 . ἐπερίσσευσεν ἐπερίσσευσεν V-AAI-3S 4052 περισσεύω ! περισσεύω
2CO 8:2.18 . εἰς εἰς PREP 1519 εἰς ! εἰς
2CO 8:2.19 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
2CO 8:2.20 . πλοῦτος πλοῦτος N-ASN 4149 πλοῦτος ! πλοῦτος
2CO 8:2.21 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2CO 8:2.22 . ἁπλότητος ἁπλότητος N-GSF 572 ἁπλότης ! ἁπλότης
2CO 8:2.23 . αὐτῶν· αὐτῶν· P-GPM 846 αὐτός ! αὐτός
2CO 8:3.1 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
2CO 8:3.2 . κατὰ κατὰ PREP 2596 κατά ! κατά
2CO 8:3.3 . δύναμιν, δύναμιν, N-ASF 1411 δύναμις ! δύναμις
2CO 8:3.4 . μαρτυρῶ, μαρτυρῶ, V-PAI-1S 3140 μαρτυρέω ! μαρτυρέω
2CO 8:3.5 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:3.6 . παρὰ παρὰ PREP 3844 παρά ! παρά
2CO 8:3.7 . δύναμιν, δύναμιν, N-ASF 1411 δύναμις ! δύναμις
2CO 8:3.8 . αὐθαίρετοι αὐθαίρετοι A-NPM 830 αὐθαίρετος ! αὐθαίρετος
2CO 8:4.1 . μετὰ μετὰ PREP 3326 μετά ! μετά
2CO 8:4.2 . πολλῆς πολλῆς A-GSF 4183 πολύς ! πολύς
2CO 8:4.3 . παρακλήσεως παρακλήσεως N-GSF 3874 παράκλησις ! παράκλησις
2CO 8:4.4 . δεόμενοι δεόμενοι V-PNP-NPM 1189 δέομαι ! δέομαι
2CO 8:4.5 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 8:4.6 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2CO 8:4.7 . χάριν χάριν N-ASF 5485 χάρις ! χάρις
2CO 8:4.8 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:4.9 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2CO 8:4.10 . κοινωνίαν κοινωνίαν N-ASF 2842 κοινωνία ! κοινωνία
2CO 8:4.11 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2CO 8:4.12 . διακονίας διακονίας N-GSF 1248 διακονία ! διακονία
2CO 8:4.13 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2CO 8:4.14 . εἰς εἰς PREP 1519 εἰς ! εἰς
2CO 8:4.15 . τοὺς τοὺς T-APM 3588 ὁ ! ὁ
2CO 8:4.16 . ἁγίους ἁγίους A-APM 40 ἅγιος ! ἅγιος
2CO 8:5.1 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:5.2 . οὐ οὐ PRT-N 3756 οὐ ! οὐ
2CO 8:5.3 . καθὼς καθὼς ADV 2531 καθώς ! καθώς
2CO 8:5.4 . ἠλπίσαμεν ἠλπίσαμεν V-AAI-1P 1679 ἐλπίζω ! ἐλπίζω
2CO 8:5.5 . ἀλλὰ ἀλλὰ CONJ 235 ἀλλά ! ἀλλά
2CO 8:5.6 . ἑαυτοὺς ἑαυτοὺς F-3APM 1438 ἑαυτοῦ ! ἑαυτοῦ
2CO 8:5.7 . ἔδωκαν ἔδωκαν V-AAI-3P 1325 δίδωμι ! δίδωμι
2CO 8:5.8 . πρῶτον πρῶτον ADV-S 4412 πρῶτον ! πρῶτος
2CO 8:5.9 . τῷ τῷ T-DSM 3588 ὁ ! ὁ
2CO 8:5.10 . κυρίῳ κυρίῳ N-DSM 2962 κύριος ! κύριος
2CO 8:5.11 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:5.12 . ἡμῖν ἡμῖν P-1DP 2249 ἡμεῖς ! ἐγώ
2CO 8:5.13 . διὰ διὰ PREP 1223 διά ! διά
2CO 8:5.14 . θελήματος θελήματος N-GSN 2307 θέλημα ! θέλημα
2CO 8:5.15 . θεοῦ, θεοῦ, N-GSM 2316 θεός ! θεός
2CO 8:6.1 . εἰς εἰς PREP 1519 εἰς ! εἰς
2CO 8:6.2 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
2CO 8:6.3 . παρακαλέσαι παρακαλέσαι V-AAN 3870 παρακαλέω ! παρακαλέω
2CO 8:6.4 . ἡμᾶς ἡμᾶς P-1AP 2249 ἡμεῖς ! ἐγώ
2CO 8:6.5 . Τίτον Τίτον N-ASM 5103 Τίτος ! Τίτος
2CO 8:6.6 . ἵνα ἵνα CONJ 2443 ἵνα ! ἵνα
2CO 8:6.7 . καθὼς καθὼς ADV 2531 καθώς ! καθώς
2CO 8:6.8 . προενήρξατο προενήρξατο V-ADI-3S 4278 προενάρχομαι ! προενάρχομαι
2CO 8:6.9 . οὕτως οὕτως ADV 3779 οὕτω ! οὕτω
2CO 8:6.10 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:6.11 . ἐπιτελέσῃ ἐπιτελέσῃ V-AAS-3S 2005 ἐπιτελέω ! ἐπιτελέω
2CO 8:6.12 . εἰς εἰς PREP 1519 εἰς ! εἰς
2CO 8:6.13 . ὑμᾶς ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
2CO 8:6.14 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:6.15 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2CO 8:6.16 . χάριν χάριν N-ASF 5485 χάρις ! χάρις
2CO 8:6.17 . ταύτην. ταύτην. D-ASF 3778 οὗτος ! οὗτος
2CO 8:7.1 . ἀλλ’ ἀλλ’ CONJ 235 ἀλλά ! ἀλλά
2CO 8:7.2 . ὥσπερ ὥσπερ ADV 5618 ὥσπερ ! ὥσπερ
2CO 8:7.3 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 8:7.4 . παντὶ παντὶ A-DSN 3956 πᾶς ! πᾶς
2CO 8:7.5 . περισσεύετε, περισσεύετε, V-PAI-2P 4052 περισσεύω ! περισσεύω
2CO 8:7.6 . πίστει πίστει N-DSF 4102 πίστις ! πίστις
2CO 8:7.7 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:7.8 . λόγῳ λόγῳ N-DSM 3056 λόγος ! λόγος
2CO 8:7.9 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:7.10 . γνώσει γνώσει N-DSF 1108 γνῶσις ! γνῶσις
2CO 8:7.11 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:7.12 . πάσῃ πάσῃ A-DSF 3956 πᾶς ! πᾶς
2CO 8:7.13 . σπουδῇ σπουδῇ N-DSF 4710 σπουδή ! σπουδή
2CO 8:7.14 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:7.15 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2CO 8:7.16 . ἐξ ἐξ PREP 1537 ἐκ ! ἐκ
2CO 8:7.17 . ὑμῶν ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
2CO 8:7.18 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 8:7.19 . ἡμῖν ἡμῖν P-1DP 2249 ἡμεῖς ! ἐγώ
2CO 8:7.20 . ἀγάπῃ, ἀγάπῃ, N-DSF 26 ἀγάπη ! ἀγάπη
2CO 8:7.21 . ἵνα ἵνα CONJ 2443 ἵνα ! ἵνα
2CO 8:7.22 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:7.23 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 8:7.24 . ταύτῃ ταύτῃ D-DSF 3778 οὗτος ! οὗτος
2CO 8:7.25 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2CO 8:7.26 . χάριτι χάριτι N-DSF 5485 χάρις ! χάρις
2CO 8:7.27 . περισσεύητε. περισσεύητε. V-PAS-2P 4052 περισσεύω ! περισσεύω
2CO 8:8.1 . οὐ οὐ PRT-N 3756 οὐ ! οὐ
2CO 8:8.2 . κατ’ κατ’ PREP 2596 κατά ! κατά
2CO 8:8.3 . ἐπιταγὴν ἐπιταγὴν N-ASF 2003 ἐπιταγή ! ἐπιταγή
2CO 8:8.4 . λέγω, λέγω, V-PAI-1S 3004 λέγω ! λέγω
2CO 8:8.5 . ἀλλὰ ἀλλὰ CONJ 235 ἀλλά ! ἀλλά
2CO 8:8.6 . διὰ διὰ PREP 1223 διά ! διά
2CO 8:8.7 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2CO 8:8.8 . ἑτέρων ἑτέρων A-GPM 2087 ἕτερος ! ἕτερος
2CO 8:8.9 . σπουδῆς σπουδῆς N-GSF 4710 σπουδή ! σπουδή
2CO 8:8.10 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:8.11 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
2CO 8:8.12 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2CO 8:8.13 . ὑμετέρας ὑμετέρας S-2PGSF 5212 ὑμέτερος ! ὑμέτερος
2CO 8:8.14 . ἀγάπης ἀγάπης N-GSF 26 ἀγάπη ! ἀγάπη
2CO 8:8.15 . γνήσιον γνήσιον A-ASN 1103 γνήσιος ! γνήσιος
2CO 8:8.16 . δοκιμάζων· δοκιμάζων· V-PAP-NSM 1381 δοκιμάζω ! δοκιμάζω
2CO 8:9.1 . γινώσκετε γινώσκετε V-PAI-2P 1097 γινώσκω ! γινώσκω
2CO 8:9.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2CO 8:9.3 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2CO 8:9.4 . χάριν χάριν N-ASF 5485 χάρις ! χάρις
2CO 8:9.5 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2CO 8:9.6 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
2CO 8:9.7 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 8:9.8 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2CO 8:9.9 . Χριστοῦ, Χριστοῦ, N-GSM 5547 Χριστός ! Χριστός
2CO 8:9.10 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
2CO 8:9.11 . δι’ δι’ PREP 1223 διά ! διά
2CO 8:9.12 . ὑμᾶς ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
2CO 8:9.13 . ἐπτώχευσεν ἐπτώχευσεν V-AAI-3S 4433 πτωχεύω ! πτωχεύω
2CO 8:9.14 . πλούσιος πλούσιος A-NSM 4145 πλούσιος ! πλούσιος
2CO 8:9.15 . ὤν, ὤν, V-PAP-NSM 1510 εἰμί ! εἰμί
2CO 8:9.16 . ἵνα ἵνα CONJ 2443 ἵνα ! ἵνα
2CO 8:9.17 . ὑμεῖς ὑμεῖς P-2NP 5210 ὑμεῖς ! σύ
2CO 8:9.18 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2CO 8:9.19 . ἐκείνου ἐκείνου D-GSM 1565 ἐκεῖνος ! ἐκεῖνος
2CO 8:9.20 . πτωχείᾳ πτωχείᾳ N-DSF 4432 πτωχεία ! πτωχεία
2CO 8:9.21 . πλουτήσητε. πλουτήσητε. V-AAS-2P 4147 πλουτέω ! πλουτέω
2CO 8:10.1 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:10.2 . γνώμην γνώμην N-ASF 1106 γνώμη ! γνώμη
2CO 8:10.3 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 8:10.4 . τούτῳ τούτῳ D-DSN 3778 οὗτος ! οὗτος
2CO 8:10.5 . δίδωμι· δίδωμι· V-PAI-1S 1325 δίδωμι ! δίδωμι
2CO 8:10.6 . τοῦτο τοῦτο D-NSN 3778 οὗτος ! οὗτος
2CO 8:10.7 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2CO 8:10.8 . ὑμῖν ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
2CO 8:10.9 . συμφέρει, συμφέρει, V-PAI-3S 4851 συμφέρω ! συμφέρω
2CO 8:10.10 . οἵτινες οἵτινες R-NPM 3748 ὅστις ! ὅστις
2CO 8:10.11 . οὐ οὐ PRT-N 3756 οὐ ! οὐ
2CO 8:10.12 . μόνον μόνον ADV 3440 μόνον ! μόνος
2CO 8:10.13 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
2CO 8:10.14 . ποιῆσαι ποιῆσαι V-AAN 4160 ποιέω ! ποιέω
2CO 8:10.15 . ἀλλὰ ἀλλὰ CONJ 235 ἀλλά ! ἀλλά
2CO 8:10.16 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:10.17 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
2CO 8:10.18 . θέλειν θέλειν V-PAN 2309 θέλω ! θέλω
2CO 8:10.19 . προενήρξασθε προενήρξασθε V-ADI-2P 4278 προενάρχομαι ! προενάρχομαι
2CO 8:10.20 . ἀπὸ ἀπὸ PREP 575 ἀπό ! ἀπό
2CO 8:10.21 . πέρυσι· πέρυσι· ADV 4070 πέρυσι ! πέρυσι
2CO 8:11.1 . νυνὶ νυνὶ ADV 3570 νυνί ! νυνί
2CO 8:11.2 . δὲ δὲ CONJ 1161 δέ ! δέ
2CO 8:11.3 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:11.4 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
2CO 8:11.5 . ποιῆσαι ποιῆσαι V-AAN 4160 ποιέω ! ποιέω
2CO 8:11.6 . ἐπιτελέσατε, ἐπιτελέσατε, V-AAM-2P 2005 ἐπιτελέω ! ἐπιτελέω
2CO 8:11.7 . ὅπως ὅπως ADV 3704 ὅπως ! ὅπως
2CO 8:11.8 . καθάπερ καθάπερ ADV 2509 καθάπερ ! καθάπερ
2CO 8:11.9 . ἡ ἡ T-NSF 3588 ὁ ! ὁ
2CO 8:11.10 . προθυμία προθυμία N-NSF 4288 προθυμία ! προθυμία
2CO 8:11.11 . τοῦ τοῦ T-GSN 3588 ὁ ! ὁ
2CO 8:11.12 . θέλειν θέλειν V-PAN 2309 θέλω ! θέλω
2CO 8:11.13 . οὕτως οὕτως ADV 3779 οὕτω ! οὕτω
2CO 8:11.14 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:11.15 . τὸ τὸ T-NSN 3588 ὁ ! ὁ
2CO 8:11.16 . ἐπιτελέσαι ἐπιτελέσαι V-AAN 2005 ἐπιτελέω ! ἐπιτελέω
2CO 8:11.17 . ἐκ ἐκ PREP 1537 ἐκ ! ἐκ
2CO 8:11.18 . τοῦ τοῦ T-GSN 3588 ὁ ! ὁ
2CO 8:11.19 . ἔχειν. ἔχειν. V-PAN 2192 ἔχω ! ἔχω
2CO 8:12.1 . εἰ εἰ COND 1487 εἰ ! εἰ
2CO 8:12.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2CO 8:12.3 . ἡ ἡ T-NSF 3588 ὁ ! ὁ
2CO 8:12.4 . προθυμία προθυμία N-NSF 4288 προθυμία ! προθυμία
2CO 8:12.5 . πρόκειται, πρόκειται, V-PNI-3S 4295 πρόκειμαι ! πρόκειμαι
2CO 8:12.6 . καθὸ καθὸ ADV 2526 καθό ! καθό
2CO 8:12.7 . ἂν ἂν PRT 302 ἄν ! ἄν
2CO 8:12.8 . ἔχῃ ἔχῃ V-PAS-3S 2192 ἔχω ! ἔχω
2CO 8:12.9 . εὐπρόσδεκτος, εὐπρόσδεκτος, A-NSM 2144 εὐπρόσδεκτος ! εὐπρόσδεκτος
2CO 8:12.10 . οὐ οὐ PRT-N 3756 οὐ ! οὐ
2CO 8:12.11 . καθὸ καθὸ ADV 2526 καθό ! καθό
2CO 8:12.12 . οὐκ οὐκ PRT-N 3756 οὐ ! οὐ
2CO 8:12.13 . ἔχει. ἔχει. V-PAI-3S 2192 ἔχω ! ἔχω
2CO 8:13.1 . οὐ οὐ PRT-N 3756 οὐ ! οὐ
2CO 8:13.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2CO 8:13.3 . ἵνα ἵνα CONJ 2443 ἵνα ! ἵνα
2CO 8:13.4 . ἄλλοις ἄλλοις A-DPM 243 ἄλλος ! ἄλλος
2CO 8:13.5 . ἄνεσις, ἄνεσις, N-NSF 425 ἄνεσις ! ἄνεσις
2CO 8:13.6 . ὑμῖν ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
2CO 8:13.7 . θλῖψις, θλῖψις, N-NSF 2347 θλῖψις ! θλῖψις
2CO 8:13.8 . ἀλλ’ ἀλλ’ CONJ 235 ἀλλά ! ἀλλά
2CO 8:13.9 . ἐξ ἐξ PREP 1537 ἐκ ! ἐκ
2CO 8:13.10 . ἰσότητος· ἰσότητος· N-GSF 2471 ἰσότης ! ἰσότης
2CO 8:13.11 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 8:13.12 . τῷ τῷ T-DSM 3588 ὁ ! ὁ
2CO 8:13.13 . νῦν νῦν ADV 3568 νῦν ! νῦν
2CO 8:13.14 . καιρῷ καιρῷ N-DSM 2540 καιρός ! καιρός
2CO 8:13.15 . τὸ τὸ T-NSN 3588 ὁ ! ὁ
2CO 8:13.16 . ὑμῶν ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
2CO 8:13.17 . περίσσευμα περίσσευμα N-NSN 4051 περίσσευμα ! περίσσευμα
2CO 8:13.18 . εἰς εἰς PREP 1519 εἰς ! εἰς
2CO 8:13.19 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
2CO 8:13.20 . ἐκείνων ἐκείνων D-GPM 1565 ἐκεῖνος ! ἐκεῖνος
2CO 8:13.21 . ὑστέρημα, ὑστέρημα, N-ASN 5303 ὑστέρημα ! ὑστέρημα
2CO 8:14.1 . ἵνα ἵνα CONJ 2443 ἵνα ! ἵνα
2CO 8:14.2 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:14.3 . τὸ τὸ T-NSN 3588 ὁ ! ὁ
2CO 8:14.4 . ἐκείνων ἐκείνων D-GPM 1565 ἐκεῖνος ! ἐκεῖνος
2CO 8:14.5 . περίσσευμα περίσσευμα N-NSN 4051 περίσσευμα ! περίσσευμα
2CO 8:14.6 . γένηται γένηται V-2ADS-3S 1096 γίνομαι ! γίνομαι
2CO 8:14.7 . εἰς εἰς PREP 1519 εἰς ! εἰς
2CO 8:14.8 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
2CO 8:14.9 . ὑμῶν ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
2CO 8:14.10 . ὑστέρημα, ὑστέρημα, N-ASN 5303 ὑστέρημα ! ὑστέρημα
2CO 8:14.11 . ὅπως ὅπως ADV 3704 ὅπως ! ὅπως
2CO 8:14.12 . γένηται γένηται V-2ADS-3S 1096 γίνομαι ! γίνομαι
2CO 8:14.13 . ἰσότης· ἰσότης· N-NSF 2471 ἰσότης ! ἰσότης
2CO 8:15.1 . καθὼς καθὼς ADV 2531 καθώς ! καθώς
2CO 8:15.2 . γέγραπται, γέγραπται, V-RPI-3S 1125 γράφω ! γράφω
2CO 8:15.3 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2CO 8:15.4 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
2CO 8:15.5 . πολὺ πολὺ A-ASN 4183 πολύς ! πολύς
2CO 8:15.6 . οὐκ οὐκ PRT-N 3756 οὐ ! οὐ
2CO 8:15.7 . ἐπλεόνασεν, ἐπλεόνασεν, V-AAI-3S 4121 πλεονάζω ! πλεονάζω
2CO 8:15.8 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:15.9 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2CO 8:15.10 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
2CO 8:15.11 . ὀλίγον ὀλίγον A-ASN 3641 ὀλίγος ! ὀλίγος
2CO 8:15.12 . οὐκ οὐκ PRT-N 3756 οὐ ! οὐ
2CO 8:15.13 . ἠλαττόνησεν. ἠλαττόνησεν. V-AAI-3S 1641 ἐλαττονέω ! ἐλαττονέω
2CO 8:16.1 P Χάρις Χάρις N-NSF 5485 χάρις ! χάρις
2CO 8:16.2 . δὲ δὲ CONJ 1161 δέ ! δέ
2CO 8:16.3 . τῷ τῷ T-DSM 3588 ὁ ! ὁ
2CO 8:16.4 . θεῷ θεῷ N-DSM 2316 θεός ! θεός
2CO 8:16.5 . τῷ τῷ T-DSM 3588 ὁ ! ὁ
2CO 8:16.6 . διδόντι διδόντι V-PAP-DSM 1325 δίδωμι ! δίδωμι
2CO 8:16.7 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2CO 8:16.8 . αὐτὴν αὐτὴν P-ASF 846 αὐτός ! αὐτός
2CO 8:16.9 . σπουδὴν σπουδὴν N-ASF 4710 σπουδή ! σπουδή
2CO 8:16.10 . ὑπὲρ ὑπὲρ PREP 5228 ὑπέρ ! ὑπέρ
2CO 8:16.11 . ὑμῶν ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
2CO 8:16.12 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 8:16.13 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2CO 8:16.14 . καρδίᾳ καρδίᾳ N-DSF 2588 καρδία ! καρδία
2CO 8:16.15 . Τίτου, Τίτου, N-GSM 5103 Τίτος ! Τίτος
2CO 8:17.1 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
2CO 8:17.2 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2CO 8:17.3 . μὲν μὲν PRT 3303 μέν ! μέν
2CO 8:17.4 . παράκλησιν παράκλησιν N-ASF 3874 παράκλησις ! παράκλησις
2CO 8:17.5 . ἐδέξατο, ἐδέξατο, V-ADI-3S 1209 δέχομαι ! δέχομαι
2CO 8:17.6 . σπουδαιότερος σπουδαιότερος A-NSM-C 4705 σπουδαῖος ! σπουδαῖος
2CO 8:17.7 . δὲ δὲ CONJ 1161 δέ ! δέ
2CO 8:17.8 . ὑπάρχων ὑπάρχων V-PAP-NSM 5225 ὑπάρχω ! ὑπάρχω
2CO 8:17.9 . αὐθαίρετος αὐθαίρετος A-NSM 830 αὐθαίρετος ! αὐθαίρετος
2CO 8:17.10 . ἐξῆλθεν ἐξῆλθεν V-2AAI-3S 1831 ἐξέρχομαι ! ἐξέρχομαι
2CO 8:17.11 . πρὸς πρὸς PREP 4314 πρός ! πρός
2CO 8:17.12 . ὑμᾶς. ὑμᾶς. P-2AP 5210 ὑμεῖς ! σύ
2CO 8:18.1 . συνεπέμψαμεν συνεπέμψαμεν V-AAI-1P 4842 συμπέμπω ! συμπέμπω
2CO 8:18.2 . δὲ δὲ CONJ 1161 δέ ! δέ
2CO 8:18.3 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
2CO 8:18.4 . ἀδελφὸν ἀδελφὸν N-ASM 80 ἀδελφός ! ἀδελφός
2CO 8:18.5 . μετ’ μετ’ PREP 3326 μετά ! μετά
2CO 8:18.6 . αὐτοῦ, αὐτοῦ, P-GSM 846 αὐτός ! αὐτός
2CO 8:18.7 . οὗ οὗ R-GSM 3739 ὅς ! ὅς
2CO 8:18.8 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2CO 8:18.9 . ἔπαινος ἔπαινος N-NSM 1868 ἔπαινος ! ἔπαινος
2CO 8:18.10 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 8:18.11 . τῷ τῷ T-DSN 3588 ὁ ! ὁ
2CO 8:18.12 . εὐαγγελίῳ εὐαγγελίῳ N-DSN 2098 εὐαγγέλιον ! εὐαγγέλιον
2CO 8:18.13 . διὰ διὰ PREP 1223 διά ! διά
2CO 8:18.14 . πασῶν πασῶν A-GPF 3956 πᾶς ! πᾶς
2CO 8:18.15 . τῶν τῶν T-GPF 3588 ὁ ! ὁ
2CO 8:18.16 . ἐκκλησιῶν ἐκκλησιῶν N-GPF 1577 ἐκκλησία ! ἐκκλησία
2CO 8:19.1 . οὐ οὐ PRT-N 3756 οὐ ! οὐ
2CO 8:19.2 . μόνον μόνον ADV 3440 μόνον ! μόνος
2CO 8:19.3 . δὲ δὲ CONJ 1161 δέ ! δέ
2CO 8:19.4 . ἀλλὰ ἀλλὰ CONJ 235 ἀλλά ! ἀλλά
2CO 8:19.5 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:19.6 . χειροτονηθεὶς χειροτονηθεὶς V-APP-NSM 5500 χειροτονέω ! χειροτονέω
2CO 8:19.7 . ὑπὸ ὑπὸ PREP 5259 ὑπό ! ὑπό
2CO 8:19.8 . τῶν τῶν T-GPF 3588 ὁ ! ὁ
2CO 8:19.9 . ἐκκλησιῶν ἐκκλησιῶν N-GPF 1577 ἐκκλησία ! ἐκκλησία
2CO 8:19.10 . συνέκδημος συνέκδημος N-NSM 4898 συνέκδημος ! συνέκδημος
2CO 8:19.11 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 8:19.12 . σὺν σὺν PREP 4862 σύν ! σύν
2CO 8:19.13 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2CO 8:19.14 . χάριτι χάριτι N-DSF 5485 χάρις ! χάρις
2CO 8:19.15 . ταύτῃ ταύτῃ D-DSF 3778 οὗτος ! οὗτος
2CO 8:19.16 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2CO 8:19.17 . διακονουμένῃ διακονουμένῃ V-PPP-DSF 1247 διακονέω ! διακονέω
2CO 8:19.18 . ὑφ’ ὑφ’ PREP 5259 ὑπό ! ὑπό
2CO 8:19.19 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 8:19.20 . πρὸς πρὸς PREP 4314 πρός ! πρός
2CO 8:19.21 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2CO 8:19.22 . αὐτοῦ αὐτοῦ P-GSM 846 αὐτός ! αὐτός
2CO 8:19.23 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2CO 8:19.24 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
2CO 8:19.25 . δόξαν δόξαν N-ASF 1391 δόξα ! δόξα
2CO 8:19.26 . καὶ καὶ CONJ 2532 καί ! καί
2CO 8:19.27 . προθυμίαν προθυμίαν N-ASF 4288 προθυμία ! προθυμία
2CO 8:19.28 . ἡμῶν, ἡμῶν, P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 8:20.1 . στελλόμενοι στελλόμενοι V-PMP-NPM 4724 στέλλω ! στέλλω
2CO 8:20.2 . τοῦτο τοῦτο D-ASN 3778 οὗτος ! οὗτος
2CO 8:20.3 . μή μή PRT-N 3361 μή ! μή
2CO 8:20.4 . τις τις X-NSM 5100 τὶς ! τὶς
2CO 8:20.5 . ἡμᾶς ἡμᾶς P-1AP 2249 ἡμεῖς ! ἐγώ
2CO 8:20.6 . μωμήσηται μωμήσηται V-ADS-3S 3469 μωμάομαι ! μωμάομαι
2CO 8:20.7 . ἐν ἐν PREP 1722 ἐν ! ἐν
